iso,valence,arousal,dominance,joy,anger,sadness,fear,disgust
cs,0.844929982545704,0.6424092948129885,0.7743999419176482,0.7789436367445838,0.8201218552005887,0.804462658714498,0.7852338117671034,0.7923219216649453
da,0.8443931656966429,0.6062542108184877,0.7674135632798119,0.7820552528994352,0.794594914975775,0.7723242551460274,0.7306270904362179,0.7860440542474099
nl,0.8462384776300442,0.6438862916685828,0.7761295823616242,0.7722617183208226,0.8022659645457609,0.7887734369915522,0.7704746125784654,0.7816144845845867
pa,0.670786048751753,0.36963511398374116,0.6060066566771466,0.5876561892485022,0.6403593672242549,0.6099631820592094,0.5837000877705628,0.6201239102956406
en,0.9405435609709296,0.7606949829924109,0.8789710139173658,0.8995092900625391,0.9144929559192849,0.8984060539318715,0.8856839994445652,0.8867744327608813
eo,0.770776745668812,0.5511973872641335,0.7113080139553124,0.7154935999049388,0.7638289239722851,0.7416466610134224,0.7304652792205404,0.7256282479356176
et,0.8328810303669648,0.5909387323252646,0.7525718741125365,0.7738341092921092,0.8098756835081251,0.784411427601193,0.7651409910110928,0.7828942733656813
fi,0.8604046225441823,0.6385744695494645,0.7859189951000706,0.8097820942356314,0.8181796852297677,0.7816501230091136,0.7733895136651305,0.8049383088635003
fr,0.8451080317086762,0.6472479946150111,0.7902230264445297,0.7762993289406889,0.8196688325118844,0.8100116240194346,0.7826213696332921,0.8085505767869325
gl,0.7803479374628701,0.5334707341444344,0.718013168995227,0.7183794386568504,0.7627728195711415,0.7377115715829236,0.7105932515297569,0.7083354483376435
ka,0.7645813328394232,0.5208180447238959,0.7182496828761841,0.7029492300346701,0.7238067605730836,0.7093520142996439,0.698538986122774,0.6595699317734339
de,0.889465401813592,0.6573948827321705,0.8142959208882499,0.8236729686781235,0.8428423873861873,0.8186651210577158,0.8041899431558611,0.814743421812384
el,0.8240714440431662,0.6295153459109394,0.7634993702595391,0.7822783644490633,0.7988128808166303,0.7820718303364409,0.7671557924526095,0.7791377660932317
gu,0.687845854671454,0.46223499608374463,0.6227389186145234,0.611172363240732,0.6683954115389046,0.6450871919582294,0.6315606029396416,0.6369705111467998
ht,0.3864710766900291,0.22474563627048116,0.33020048146318526,0.295964992859349,0.41859443213398473,0.4172201286626333,0.37032609046621995,0.37582184776285527
he,0.8048092772785781,0.6242050670761699,0.7247472334313839,0.7607981603632704,0.7790748000375828,0.7600025833229551,0.7421283745154661,0.7460441197343362
hi,0.758189912711791,0.5590964878394612,0.6764074912074722,0.6909174209775912,0.7253689407130263,0.6416580232083018,0.6471042292261414,0.7174554211303388
hu,0.8616164071885096,0.6689522217213121,0.7861130067524112,0.7996480921838269,0.8151787119185487,0.7892394436505629,0.7720883699343903,0.7917309639233208
is,0.7594156492575989,0.5462009123387457,0.7038932538714275,0.6783476871457135,0.6968381786596328,0.6933127145076593,0.6780665555426838,0.6355290479745993
id,0.8481123706014825,0.6738680609589244,0.7892257553222053,0.7846513311057304,0.8238938903009582,0.803541511886284,0.7941310336560483,0.7727284959897437
ga,0.6352552816305799,0.46777395931145743,0.5925293174563787,0.5780441082767284,0.6119789027787849,0.6102476252263844,0.590795038958197,0.547724211800154
it,0.8784172778064852,0.6913151722779616,0.8096401093529866,0.8170055144495746,0.8543092233016261,0.8352810739132075,0.8219524305000265,0.8103284652452636
ja,0.7217380618714694,0.580210862628392,0.6734693658277108,0.675076160687072,0.7075546767025106,0.6977501288142236,0.7040943106111363,0.6829792898116833
jv,0.5826405463165948,0.44773943960608864,0.530659778505852,0.5271343079751247,0.5630639012315606,0.578774668409844,0.5380959391144695,0.4908286502478554
kn,0.7024874296826169,0.4662027839027115,0.6472348479064132,0.670479911423332,0.7090345954105608,0.6776198744186853,0.6672243045030484,0.6755015812873206
kk,0.718280667553648,0.5265846072773506,0.6470982272176802,0.6697037618264238,0.7281187871149505,0.6942126303770678,0.6708995656121719,0.6980634984360526
km,0.5068372326560191,0.3858829005739717,0.4424859940591125,0.4858104827029718,0.507821820219482,0.4389278096451916,0.4520428076608315,0.47816597431848396
